11/17/2018-10:46:59.686494  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.4.18:52626 -> 10.128.0.7:4425
11/17/2018-10:47:25.681556  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.4.11:48688 -> 10.128.0.7:6276
11/17/2018-10:47:53.424180  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.4.51:48807 -> 10.128.0.7:5158
11/17/2018-10:48:20.706044  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.7.2:48986 -> 10.128.0.7:36979
11/17/2018-10:48:30.674697  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.4.27:50050 -> 10.128.0.7:9350
11/17/2018-10:49:00.036128  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 194.28.115.243:43843 -> 10.128.0.7:33888
11/17/2018-10:51:10.856531  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.4.29:50967 -> 10.128.0.7:13623
11/17/2018-10:52:43.202993  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.4.30:57446 -> 10.128.0.7:18484
11/17/2018-10:52:54.421067  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.4.7:41333 -> 10.128.0.7:33625
11/17/2018-10:53:27.247258  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.7.34:44988 -> 10.128.0.7:13521
11/17/2018-10:54:02.878292  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 122.228.19.80:8121 -> 10.128.0.7:6664
11/17/2018-10:54:33.777513  [**] [1:2500028:4888] ET COMPROMISED Known Compromised or Hostile Host Traffic TCP group 15 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 46.101.9.8:41914 -> 10.128.0.7:8088
11/17/2018-10:55:01.744325  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.4.9:58372 -> 10.128.0.7:27813
11/17/2018-10:55:09.453161  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.4.10:56409 -> 10.128.0.7:25013
11/17/2018-10:55:32.649500  [**] [1:2403490:44968] ET CINS Active Threat Intelligence Poor Reputation IP TCP group 96 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 92.53.90.177:55495 -> 10.128.0.7:1825
11/17/2018-10:57:02.151828  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.7.30:44868 -> 10.128.0.7:19296
11/17/2018-10:59:24.088212  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.7.50:55694 -> 10.128.0.7:7867
11/17/2018-11:00:58.856620  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 185.255.31.6:51261 -> 10.128.0.7:1865
11/17/2018-11:02:33.941164  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.119.4.77:46964 -> 10.128.0.7:4743
11/17/2018-11:02:41.371329  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 185.153.198.250:51651 -> 10.128.0.7:23388
11/17/2018-11:03:52.931989  [**] [1:2010935:3] ET SCAN Suspicious inbound to MSSQL port 1433 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 115.78.9.118:47762 -> 10.128.0.7:1433
11/17/2018-11:03:58.852673  [**] [1:2403490:44968] ET CINS Active Threat Intelligence Poor Reputation IP TCP group 96 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 92.53.90.179:43320 -> 10.128.0.7:5865
11/17/2018-11:04:42.403213  [**] [1:2402000:5001] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 78.128.112.94:52232 -> 10.128.0.7:8294
